datetime,open,chain_detected
2025-10-07 13:31:15,124664.09,0.0
2025-10-07 13:31:20,124709.69,0.0
2025-10-07 13:31:25,124693.19,0.0
2025-10-07 13:31:30,124691.31,0.0
2025-10-07 13:31:35,124691.32,0.0
2025-10-07 13:31:40,124665.71,0.0
2025-10-07 13:31:45,124655.41,0.0
2025-10-07 13:31:50,124648.14,0.0
2025-10-07 13:31:55,124648.14,0.0
2025-10-07 13:32:00,124635.68,0.0
2025-10-07 13:32:05,124633.31,0.0
2025-10-07 13:32:10,124606.01,0.0
2025-10-07 13:32:15,124637.86,0.0
2025-10-07 13:32:20,124661.57,0.0
2025-10-07 13:32:25,124698.09,0.0
2025-10-07 13:32:30,124680.59,0.0
2025-10-07 13:32:35,124662.01,0.0
2025-10-07 13:32:40,124618.01,0.0
2025-10-07 13:32:45,124612.76,0.0
2025-10-07 13:32:50,124611.6,0.0
2025-10-07 13:32:55,124611.61,0.0
2025-10-07 13:33:00,124600.0,0.0
2025-10-07 13:33:05,124570.01,0.0
2025-10-07 13:33:10,124534.77,0.0
2025-10-07 13:33:15,124534.76,0.0
2025-10-07 13:33:20,124500.04,0.0
2025-10-07 13:33:25,124538.0,0.0
2025-10-07 13:33:30,124547.52,0.0
2025-10-07 13:33:35,124561.32,0.0
2025-10-07 13:33:40,124511.94,0.0
2025-10-07 13:33:45,124500.29,0.0
2025-10-07 13:33:50,124564.0,0.0
2025-10-07 13:33:55,124589.19,0.0
2025-10-07 13:34:00,124568.16,0.0
2025-10-07 13:34:05,124583.54,0.0
2025-10-07 13:34:10,124597.36,0.0
2025-10-07 13:34:15,124561.96,0.0
2025-10-07 13:34:20,124561.96,0.0
2025-10-07 13:34:25,124599.55,0.0
2025-10-07 13:34:30,124622.74,0.0
2025-10-07 13:34:35,124632.18,0.0
2025-10-07 13:34:40,124659.99,0.0
2025-10-07 13:34:45,124632.32,0.0
2025-10-07 13:34:50,124650.04,0.0
2025-10-07 13:34:55,124657.28,0.0
2025-10-07 13:35:00,124657.28,0.0
2025-10-07 13:35:05,124626.45,0.0
2025-10-07 13:35:10,124619.71,0.0
2025-10-07 13:35:15,124605.27,0.0
2025-10-07 13:35:20,124605.27,0.0
2025-10-07 13:35:25,124626.45,0.0
2025-10-07 13:35:25,124626.45,0.0
2025-10-07 13:35:30,124690.6,0.0
2025-10-07 13:35:35,124716.0,0.0
