datetime,open,chain_detected
2025-10-20 19:59:59,403.0,1.0
2025-10-20 20:00:00,403.15,1.0
2025-10-20 20:00:01,402.97,1.0
2025-10-20 20:00:02,403.15,1.0
2025-10-20 20:00:07,403.0,1.0
2025-10-20 20:00:25,402.96,1.0
2025-10-20 20:00:26,402.96,1.0
2025-10-20 20:00:27,402.95,1.0
2025-10-20 20:00:30,402.97,1.0
2025-10-20 20:00:33,402.9314,1.0
2025-10-20 20:00:36,403.01,1.0
2025-10-20 20:00:41,403.06,1.0
2025-10-20 20:00:55,403.11,1.0
2025-10-20 20:00:56,403.12,1.0
2025-10-20 20:00:58,403.12,1.0
2025-10-20 20:00:59,403.1187,1.0
2025-10-20 20:01:13,403.01,1.0
2025-10-20 20:01:15,402.98,1.0
2025-10-20 20:01:19,403.03,1.0
2025-10-20 20:01:25,402.93,1.0
2025-10-20 20:01:34,402.95,1.0
2025-10-20 20:01:40,402.8,1.0
2025-10-20 20:01:41,402.76,1.0
2025-10-20 20:01:44,402.74,0.0
2025-10-20 20:01:45,402.75,0.0
2025-10-20 20:01:49,402.66,0.0
2025-10-20 20:01:50,402.54,0.0
2025-10-20 20:01:51,402.54,0.0
2025-10-20 20:01:52,402.54,0.0
2025-10-20 20:01:53,402.48,0.0
2025-10-20 20:01:55,402.47,0.0
2025-10-20 20:01:56,402.47,0.0
2025-10-20 20:01:57,402.41,0.0
2025-10-20 20:01:58,402.31,0.0
2025-10-20 20:02:02,402.31,-1.0
2025-10-20 20:02:03,402.24,0.0
2025-10-20 20:02:04,402.011,-1.0
2025-10-20 20:02:07,402.17,-1.0
2025-10-20 20:02:08,402.08,-1.0
2025-10-20 20:02:09,402.16,-1.0
2025-10-20 20:02:10,402.23,-1.0
2025-10-20 20:02:11,402.19,-1.0
2025-10-20 20:02:12,402.2,-1.0
2025-10-20 20:02:13,402.2,-1.0
2025-10-20 20:02:14,402.12,-1.0
2025-10-20 20:02:15,402.09,-1.0
2025-10-20 20:02:16,402.03,-1.0
2025-10-20 20:02:17,402.01,-1.0
2025-10-20 20:02:18,401.96,-1.0
2025-10-20 20:02:21,401.8109,-1.0
2025-10-20 20:02:22,401.81,-1.0
2025-10-20 20:02:24,401.81,-1.0
2025-10-20 20:02:25,401.34,-1.0
2025-10-20 20:02:26,401.39,-1.0
2025-10-20 20:02:27,401.44,-1.0
2025-10-20 20:02:28,401.33,-1.0
2025-10-20 20:02:33,401.59,-1.0
2025-10-20 20:02:34,401.52,-1.0
2025-10-20 20:02:36,401.49,-1.0
2025-10-20 20:02:37,401.45,-1.0
2025-10-20 20:02:38,401.46,-1.0
2025-10-20 20:02:39,401.46,-1.0
2025-10-20 20:02:40,401.52,-1.0
2025-10-20 20:02:41,401.46,-1.0
2025-10-20 20:02:42,401.5,-1.0
2025-10-20 20:02:44,401.58,-1.0
2025-10-20 20:02:45,401.67,-1.0
2025-10-20 20:02:46,401.59,-1.0
2025-10-20 20:02:47,401.67,-1.0
2025-10-20 20:02:48,401.84,-1.0
