datetime,open,chain_detected
2025-10-21 00:00:00,401.28,0.0
2025-10-21 08:00:00,398.0,0.0
2025-10-21 08:00:30,396.15,0.0
2025-10-21 08:01:00,395.77,0.0
2025-10-21 08:01:30,395.57,0.0
2025-10-21 08:02:00,395.09,0.0
2025-10-21 08:02:30,395.09,-1.0
2025-10-21 08:03:00,394.82,0.0
2025-10-21 08:03:30,394.64,-1.0
2025-10-21 08:04:00,393.88,-1.0
2025-10-21 08:04:30,393.73,-1.0
2025-10-21 08:05:00,393.97,-1.0
2025-10-21 08:05:30,393.61,-1.0
2025-10-21 08:06:00,393.22,-1.0
2025-10-21 08:07:00,393.42,-1.0
2025-10-21 08:07:30,393.5,-1.0
2025-10-21 08:08:00,393.51,-1.0
2025-10-21 08:08:30,393.42,-1.0
2025-10-21 08:09:00,393.4,-1.0
2025-10-21 08:09:30,393.25,-1.0
2025-10-21 08:10:00,393.83,-1.0
2025-10-21 08:10:30,393.96,-1.0
2025-10-21 08:11:00,393.68,-1.0
2025-10-21 08:11:30,393.69,-1.0
2025-10-21 08:12:00,393.98,-1.0
2025-10-21 08:12:30,393.57,-1.0
2025-10-21 08:13:00,393.3,-1.0
2025-10-21 08:13:30,392.37,-1.0
2025-10-21 08:14:00,392.0,-1.0
2025-10-21 08:14:30,391.62,-1.0
2025-10-21 08:15:00,391.24,-1.0
2025-10-21 08:15:30,391.0,-1.0
2025-10-21 08:16:00,391.98,-1.0
2025-10-21 08:16:30,391.88,-1.0
2025-10-21 08:17:00,391.84,-1.0
2025-10-21 08:17:30,391.65,-1.0
2025-10-21 08:18:00,391.43,-1.0
2025-10-21 08:18:30,391.99,-1.0
2025-10-21 08:19:30,392.42,-1.0
2025-10-21 08:20:00,392.45,-1.0
2025-10-21 08:20:30,392.4,-1.0
2025-10-21 08:21:00,392.12,-1.0
2025-10-21 08:21:30,392.38,-1.0
2025-10-21 08:22:00,392.44,-1.0
2025-10-21 08:22:30,392.4,-1.0
2025-10-21 08:23:00,392.34,-1.0
2025-10-21 08:23:30,391.8,-1.0
2025-10-21 08:24:00,391.69,-1.0
2025-10-21 08:24:30,391.86,-1.0
2025-10-21 08:25:00,392.44,-1.0
2025-10-21 08:26:00,392.28,-1.0
2025-10-21 08:26:30,392.2,-1.0
2025-10-21 08:27:00,392.28,-1.0
2025-10-21 08:27:30,392.2,-1.0
2025-10-21 08:28:00,392.0,-1.0
2025-10-21 08:28:30,392.0,-1.0
2025-10-21 08:29:00,392.67,-1.0
2025-10-21 08:29:30,392.61,-1.0
2025-10-21 08:30:00,392.91,-1.0
2025-10-21 08:30:30,392.5,-1.0
2025-10-21 08:32:00,392.55,-1.0
2025-10-21 08:34:00,392.57,-1.0
2025-10-21 08:34:30,392.35,-1.0
2025-10-21 08:35:00,392.69,-1.0
2025-10-21 08:35:30,392.55,-1.0
2025-10-21 08:36:30,392.66,-1.0
2025-10-21 08:37:00,392.67,-1.0
2025-10-21 08:39:00,392.69,-1.0
2025-10-21 08:40:00,392.83,-1.0
2025-10-21 08:40:30,393.0,-1.0
2025-10-21 08:41:00,393.11,-1.0
2025-10-21 08:41:30,393.15,-1.0
2025-10-21 08:42:00,393.04,-1.0
2025-10-21 08:42:30,392.69,-1.0
2025-10-21 08:43:00,392.48,-1.0
2025-10-21 08:43:30,392.55,-1.0
2025-10-21 08:44:30,392.97,-1.0
2025-10-21 08:45:30,393.07,-1.0
2025-10-21 08:46:00,393.24,-1.0
2025-10-21 08:46:30,393.21,-1.0
2025-10-21 08:47:00,393.0,-1.0
2025-10-21 08:48:00,392.96,-1.0
2025-10-21 08:48:30,393.0,-1.0
2025-10-21 08:49:30,392.86,-1.0
2025-10-21 08:50:00,392.81,-1.0
2025-10-21 08:50:30,393.12,-1.0
2025-10-21 08:51:00,392.9,-1.0
2025-10-21 08:51:30,393.0,-1.0
2025-10-21 08:52:00,393.01,-1.0
2025-10-21 08:53:30,393.05,-1.0
2025-10-21 08:54:00,392.96,-1.0
2025-10-21 08:54:30,393.06,-1.0
2025-10-21 08:55:00,393.0,-1.0
2025-10-21 08:57:00,393.0,-1.0
2025-10-21 08:58:00,393.01,-1.0
2025-10-21 08:59:30,393.2,-1.0
2025-10-21 09:00:30,393.3,-1.0
2025-10-21 09:01:00,393.4,-1.0
2025-10-21 09:01:30,393.49,-1.0
2025-10-21 09:02:00,393.6,-1.0
2025-10-21 09:02:30,393.65,-1.0
2025-10-21 09:03:00,393.4,-1.0
2025-10-21 09:04:00,393.02,-1.0
2025-10-21 09:04:30,393.06,-1.0
2025-10-21 09:05:00,392.84,-1.0
2025-10-21 09:05:30,392.7,-1.0
