datetime,open,chain_detected
2025-10-21 08:02:00,395.09,0.0
2025-10-21 08:03:00,394.64,0.0
2025-10-21 08:04:00,393.73,0.0
2025-10-21 08:05:00,393.61,0.0
2025-10-21 08:06:00,393.42,0.0
2025-10-21 08:07:00,393.5,0.0
2025-10-21 08:08:00,393.42,0.0
2025-10-21 08:09:00,393.25,0.0
2025-10-21 08:10:00,393.96,0.0
2025-10-21 08:11:00,393.69,0.0
2025-10-21 08:12:00,393.57,0.0
2025-10-21 08:13:00,392.37,-1.0
2025-10-21 08:14:00,391.74,-1.0
2025-10-21 08:15:00,391.0,-1.0
2025-10-21 08:16:00,391.88,-1.0
2025-10-21 08:17:00,391.65,-1.0
2025-10-21 08:18:00,391.99,-1.0
2025-10-21 08:19:00,392.42,-1.0
2025-10-21 08:20:00,392.4,-1.0
2025-10-21 08:21:00,392.38,-1.0
2025-10-21 08:22:00,392.4,-1.0
2025-10-21 08:23:00,392.03,-1.0
2025-10-21 08:24:00,391.86,-1.0
2025-10-21 08:25:00,392.28,-1.0
2025-10-21 08:26:00,392.2,-1.0
2025-10-21 08:27:00,392.2,0.0
2025-10-21 08:28:00,392.0,0.0
2025-10-21 08:29:00,392.67,-1.0
2025-10-21 08:30:00,392.5,0.0
2025-10-21 08:31:00,392.55,-1.0
2025-10-21 08:33:00,392.57,-1.0
2025-10-21 08:34:00,392.35,-1.0
2025-10-21 08:35:00,392.6,-1.0
2025-10-21 08:36:00,392.66,-1.0
2025-10-21 08:38:00,392.69,-1.0
2025-10-21 08:39:00,392.83,-1.0
2025-10-21 08:40:00,392.89,-1.0
2025-10-21 08:41:00,393.15,0.0
2025-10-21 08:42:00,392.69,0.0
2025-10-21 08:43:00,392.55,-1.0
2025-10-21 08:44:00,392.97,-1.0
2025-10-21 08:45:00,393.07,-1.0
2025-10-21 08:46:00,393.21,-1.0
2025-10-21 08:47:00,392.96,-1.0
2025-10-21 08:48:00,393.0,-1.0
2025-10-21 08:49:00,392.86,-1.0
2025-10-21 08:50:00,393.12,-1.0
2025-10-21 08:51:00,393.0,-1.0
2025-10-21 08:53:00,393.05,-1.0
2025-10-21 08:54:00,393.06,-1.0
2025-10-21 08:56:00,393.0,-1.0
2025-10-21 08:57:00,393.01,-1.0
2025-10-21 08:59:00,393.2,-1.0
2025-10-21 09:00:00,393.3,-1.0
2025-10-21 09:01:00,393.49,-1.0
2025-10-21 09:02:00,393.65,-1.0
2025-10-21 09:03:00,393.02,-1.0
2025-10-21 09:04:00,393.06,-1.0
2025-10-21 09:05:00,392.7,-1.0
2025-10-21 09:06:00,392.3,-1.0
2025-10-21 09:09:00,392.56,-1.0
2025-10-21 09:10:00,392.44,-1.0
2025-10-21 09:11:00,392.01,-1.0
2025-10-21 09:12:00,391.92,-1.0
2025-10-21 09:13:00,391.9,-1.0
2025-10-21 09:14:00,392.14,-1.0
2025-10-21 09:15:00,392.18,-1.0
2025-10-21 09:17:00,392.48,-1.0
2025-10-21 09:18:00,392.57,-1.0
2025-10-21 09:19:00,392.37,-1.0
2025-10-21 09:20:00,392.7,-1.0
2025-10-21 09:21:00,392.5,-1.0
2025-10-21 09:22:00,392.56,-1.0
2025-10-21 09:23:00,392.46,-1.0
2025-10-21 09:24:00,392.41,-1.0
2025-10-21 09:25:00,392.7,-1.0
2025-10-21 09:26:00,392.68,-1.0
2025-10-21 09:27:00,393.0,-1.0
2025-10-21 09:29:00,392.95,-1.0
2025-10-21 09:30:00,392.97,-1.0
2025-10-21 09:32:00,393.38,-1.0
2025-10-21 09:37:00,393.08,-1.0
2025-10-21 09:38:00,392.8,-1.0
2025-10-21 09:39:00,392.88,-1.0
2025-10-21 09:40:00,392.65,-1.0
2025-10-21 09:44:00,392.84,-1.0
2025-10-21 09:45:00,392.97,-1.0
2025-10-21 09:47:00,393.0,-1.0
2025-10-21 09:50:00,392.88,-1.0
2025-10-21 09:53:00,392.65,-1.0
2025-10-21 09:54:00,392.6,-1.0
2025-10-21 09:55:00,392.6,-1.0
2025-10-21 09:56:00,392.64,-1.0
2025-10-21 09:57:00,392.42,-1.0
2025-10-21 10:00:00,392.4,-1.0
2025-10-21 10:01:00,392.38,-1.0
2025-10-21 10:02:00,392.37,-1.0
2025-10-21 10:03:00,392.48,-1.0
2025-10-21 10:05:00,392.2,-1.0
2025-10-21 10:06:00,392.46,-1.0
2025-10-21 10:07:00,392.3,-1.0
2025-10-21 10:08:00,392.02,-1.0
2025-10-21 10:10:00,392.15,-1.0
2025-10-21 10:11:00,392.0,-1.0
2025-10-21 10:12:00,391.78,-1.0
2025-10-21 10:13:00,391.68,-1.0
2025-10-21 10:14:00,391.77,-1.0
2025-10-21 10:15:00,391.78,-1.0
2025-10-21 10:16:00,391.28,-1.0
2025-10-21 10:17:00,391.45,-1.0
2025-10-21 10:19:00,391.23,-1.0
2025-10-21 10:20:00,391.2,-1.0
2025-10-21 10:21:00,391.5,-1.0
2025-10-21 10:22:00,391.55,-1.0
2025-10-21 10:23:00,391.94,-1.0
2025-10-21 10:24:00,392.14,-1.0
2025-10-21 10:25:00,392.0,-1.0
2025-10-21 10:26:00,392.38,-1.0
2025-10-21 10:27:00,392.51,-1.0
2025-10-21 10:28:00,392.55,-1.0
2025-10-21 10:29:00,392.4,-1.0
2025-10-21 10:30:00,392.36,-1.0
2025-10-21 10:31:00,392.25,-1.0
2025-10-21 10:32:00,392.0,-1.0
2025-10-21 10:33:00,392.01,-1.0
2025-10-21 10:34:00,391.62,-1.0
2025-10-21 10:35:00,391.8,-1.0
2025-10-21 10:36:00,391.76,-1.0
2025-10-21 10:38:00,391.88,-1.0
2025-10-21 10:39:00,392.3,-1.0
2025-10-21 10:40:00,392.29,-1.0
2025-10-21 10:43:00,392.01,-1.0
2025-10-21 10:45:00,391.97,-1.0
2025-10-21 10:46:00,392.0,-1.0
2025-10-21 10:47:00,391.99,-1.0
2025-10-21 10:48:00,392.09,-1.0
2025-10-21 10:49:00,391.96,-1.0
2025-10-21 10:50:00,392.04,-1.0
2025-10-21 10:51:00,391.9,-1.0
2025-10-21 10:52:00,391.88,-1.0
2025-10-21 10:54:00,391.75,-1.0
2025-10-21 10:55:00,391.65,-1.0
2025-10-21 10:56:00,391.74,-1.0
2025-10-21 10:57:00,391.72,-1.0
2025-10-21 10:58:00,391.99,-1.0
2025-10-21 10:59:00,391.66,-1.0
2025-10-21 11:00:00,391.53,-1.0
2025-10-21 11:01:00,391.66,-1.0
2025-10-21 11:02:00,391.78,-1.0
2025-10-21 11:03:00,391.94,-1.0
2025-10-21 11:04:00,392.03,-1.0
2025-10-21 11:05:00,392.16,-1.0
2025-10-21 11:06:00,392.08,-1.0
2025-10-21 11:07:00,392.1,-1.0
2025-10-21 11:08:00,392.0,-1.0
2025-10-21 11:09:00,392.1,-1.0
2025-10-21 11:10:00,392.23,-1.0
2025-10-21 11:11:00,392.31,-1.0
