datetime,open,chain_detected
2020-01-21 19:30:00,32.695,0.0
2020-01-21 19:45:00,32.61,0.0
2020-01-21 20:00:00,32.53,0.0
2020-01-21 20:15:00,32.58,0.0
2020-01-21 20:30:00,32.505,0.0
2020-01-21 20:45:00,32.465,0.0
2020-01-21 21:00:00,32.39,0.0
2020-01-21 21:15:00,32.42,0.0
2020-01-21 21:30:00,32.47,0.0
2020-01-22 00:45:00,32.24,0.0
2020-01-22 12:00:00,32.51,0.0
2020-01-22 12:30:00,32.71,0.0
2020-01-22 13:00:00,32.45,0.0
2020-01-22 13:15:00,32.72,0.0
2020-01-22 13:30:00,32.6,0.0
2020-01-22 13:45:00,32.74,0.0
2020-01-22 14:00:00,32.6002,0.0
2020-01-22 14:15:00,32.67,0.0
2020-01-22 14:30:00,32.63,0.0
2020-01-22 14:45:00,32.51,0.0
2020-01-22 15:00:00,32.46,0.0
2020-01-22 15:15:00,32.42,0.0
2020-01-22 15:30:00,32.4366,0.0
2020-01-22 15:45:00,32.32,0.0
2020-01-22 16:00:00,32.21,0.0
2020-01-22 16:15:00,32.09,-1.0
2020-01-22 16:30:00,32.22,0.0
2020-01-22 16:45:00,32.18,0.0
2020-01-22 17:00:00,32.2,0.0
2020-01-22 17:15:00,32.175,0.0
2020-01-22 17:30:00,32.175,0.0
2020-01-22 17:45:00,32.165,0.0
2020-01-22 18:00:00,32.17,0.0
2020-01-22 18:15:00,32.165,0.0
2020-01-22 18:30:00,32.205,0.0
2020-01-22 18:45:00,32.17,0.0
2020-01-22 19:00:00,32.155,0.0
2020-01-22 19:15:00,32.155,0.0
2020-01-22 19:30:00,32.11,0.0
2020-01-22 19:45:00,32.02,0.0
2020-01-22 20:00:00,31.88,-1.0
2020-01-22 20:15:00,31.84,-1.0
2020-01-22 20:30:00,31.8,-1.0
2020-01-22 20:45:00,31.845,-1.0
2020-01-22 21:00:00,31.95,-1.0
2020-01-22 21:30:00,31.95,-1.0
2020-01-22 21:45:00,31.9,-1.0
