datetime,open,chain_detected
2025-04-02 15:46:36,565.2,1.0
2025-04-02 15:48:48,565.335,1.0
2025-04-02 15:50:12,565.04,1.0
2025-04-02 15:50:24,564.8969,1.0
2025-04-02 15:51:28,565.255,1.0
2025-04-02 15:51:32,565.16,1.0
2025-04-02 15:51:36,565.18,1.0
2025-04-02 15:51:40,565.17,1.0
2025-04-02 15:51:44,565.1,1.0
2025-04-02 15:51:48,565.205,1.0
2025-04-02 15:51:52,565.3,1.0
2025-04-02 15:52:12,565.3,1.0
2025-04-02 15:52:16,565.305,1.0
2025-04-02 15:52:20,565.3,1.0
2025-04-02 15:52:24,565.19,1.0
2025-04-02 15:52:28,565.18,1.0
2025-04-02 15:52:32,565.08,1.0
2025-04-02 15:52:36,565.08,1.0
2025-04-02 15:52:40,565.12,1.0
2025-04-02 15:52:44,565.1,1.0
2025-04-02 15:52:48,565.085,1.0
2025-04-02 15:52:52,565.0928,1.0
2025-04-02 15:52:56,565.19,1.0
2025-04-02 15:53:00,565.17,1.0
2025-04-02 15:53:04,565.21,1.0
2025-04-02 15:53:08,565.15,1.0
2025-04-02 15:53:12,565.09,1.0
2025-04-02 15:53:28,565.1706,1.0
2025-04-02 15:53:32,565.1266,1.0
2025-04-02 15:53:36,565.2299,1.0
2025-04-02 15:53:44,565.22,1.0
2025-04-02 15:54:04,565.345,1.0
2025-04-02 15:54:20,565.39,1.0
2025-04-02 15:54:40,565.42,1.0
2025-04-02 15:54:56,565.11,1.0
2025-04-02 15:55:08,565.35,1.0
2025-04-02 15:55:12,565.42,1.0
2025-04-02 15:55:16,565.42,1.0
2025-04-02 15:55:20,565.3997,1.0
2025-04-02 15:55:24,565.41,1.0
2025-04-02 15:55:28,565.37,1.0
2025-04-02 15:55:32,565.4298,1.0
2025-04-02 15:55:36,565.45,1.0
2025-04-02 15:55:40,565.54,1.0
2025-04-02 15:55:44,565.2782,1.0
2025-04-02 15:55:48,565.32,1.0
2025-04-02 15:55:52,565.5,1.0
2025-04-02 15:55:56,565.43,1.0
2025-04-02 15:56:04,565.48,1.0
2025-04-02 15:56:08,565.52,1.0
2025-04-02 15:56:12,565.58,1.0
2025-04-02 15:56:16,565.579,1.0
2025-04-02 15:56:44,565.475,1.0
2025-04-02 15:57:12,565.56,1.0
2025-04-02 15:57:20,565.5235,1.0
2025-04-02 15:57:40,565.5,1.0
2025-04-02 15:57:44,565.5059,1.0
2025-04-02 15:57:48,565.555,1.0
2025-04-02 15:57:56,565.51,1.0
2025-04-02 15:58:00,565.56,1.0
2025-04-02 15:58:04,565.501,1.0
2025-04-02 16:14:08,569.22,1.0
2025-04-02 16:14:12,568.9,1.0
2025-04-02 16:14:32,568.5,1.0
2025-04-02 16:14:36,568.07,1.0
2025-04-02 16:15:00,568.775,1.0
2025-04-02 16:15:04,568.79,1.0
2025-04-02 16:15:08,568.7999,1.0
2025-04-02 16:15:36,568.8,1.0
2025-04-02 16:15:40,568.84,1.0
2025-04-02 16:15:44,568.92,1.0
2025-04-02 16:15:52,568.44,1.0
2025-04-02 16:16:00,568.79,1.0
2025-04-02 16:16:04,568.74,1.0
2025-04-02 16:16:08,568.88,1.0
2025-04-02 16:16:16,568.88,1.0
2025-04-02 16:16:20,568.93,1.0
2025-04-02 16:16:24,569.1101,1.0
2025-04-02 16:16:28,569.3,1.0
2025-04-02 16:16:32,569.41,1.0
2025-04-02 16:16:36,569.61,1.0
2025-04-02 16:16:40,569.98,1.0
2025-04-02 16:16:44,569.88,1.0
2025-04-02 16:16:48,570.35,1.0
2025-04-02 16:16:52,570.08,1.0
2025-04-02 16:16:56,570.06,1.0
2025-04-02 16:17:00,570.22,1.0
2025-04-02 16:17:04,570.1012,1.0
2025-04-02 16:17:08,570.6201,1.0
2025-04-02 16:17:12,570.59,1.0
2025-04-02 16:17:16,569.89,1.0
2025-04-02 16:17:20,569.63,1.0
2025-04-02 16:17:24,569.69,1.0
2025-04-02 16:17:28,569.79,1.0
2025-04-02 16:17:32,569.37,1.0
