datetime,trend_identified
2022-05-05 07:06:00,1.0
2022-05-05 07:24:00,1.0
2022-05-05 07:39:00,1.0
2022-05-05 07:42:00,1.0
2022-05-05 07:45:00,1.0
2022-05-05 07:48:00,1.0
2022-05-05 07:51:00,1.0
2022-05-05 14:42:00,-1.0
2022-05-05 14:45:00,-1.0
2022-05-05 14:48:00,-1.0
2022-05-05 14:51:00,-1.0
2022-05-05 14:54:00,-1.0
2022-05-05 14:57:00,-1.0
2022-05-05 15:00:00,-1.0
2022-05-05 15:03:00,-1.0
2022-05-05 15:06:00,-1.0
2022-05-05 15:09:00,-1.0
2022-05-05 15:12:00,-1.0
2022-05-05 15:15:00,-1.0
2022-05-05 15:18:00,-1.0
2022-05-05 15:21:00,-1.0
2022-05-05 15:24:00,-1.0
2022-05-05 15:27:00,-1.0
2022-05-05 15:30:00,-1.0
2022-05-05 15:33:00,-1.0
2022-05-05 15:36:00,-1.0
2022-05-05 15:39:00,-1.0
2022-05-05 15:42:00,-1.0
2022-05-05 15:45:00,-1.0
2022-05-05 15:48:00,-1.0
2022-05-05 15:51:00,-1.0
2022-05-05 15:54:00,-1.0
2022-05-05 15:57:00,-1.0
2022-05-05 16:00:00,-1.0
2022-05-05 16:03:00,-1.0
2022-05-05 16:06:00,-1.0
2022-05-05 16:09:00,-1.0
2022-05-05 16:12:00,-1.0
2022-05-05 16:15:00,-1.0
2022-05-05 16:18:00,-1.0
2022-05-05 16:21:00,-1.0
2022-05-05 16:24:00,-1.0
2022-05-05 16:27:00,-1.0
2022-05-05 16:30:00,-1.0
2022-05-05 16:33:00,-1.0
2022-05-05 16:36:00,-1.0
2022-05-05 16:39:00,-1.0
2022-05-05 16:42:00,-1.0
2022-05-05 16:45:00,-1.0
2022-05-05 16:48:00,-1.0
2022-05-05 16:51:00,-1.0
2022-05-05 16:54:00,-1.0
2022-05-05 16:57:00,-1.0
2022-05-05 17:00:00,-1.0
2022-05-05 17:03:00,-1.0
2022-05-05 17:06:00,-1.0
2022-05-05 17:09:00,-1.0
2022-05-05 17:12:00,-1.0
2022-05-05 17:15:00,-1.0
2022-05-05 17:18:00,-1.0
2022-05-05 17:21:00,-1.0
2022-05-05 17:24:00,-1.0
2022-05-05 17:27:00,-1.0
2022-05-05 17:30:00,-1.0
2022-05-05 17:33:00,-1.0
2022-05-05 17:36:00,-1.0
2022-05-05 17:39:00,-1.0
2022-05-05 17:42:00,-1.0
2022-05-05 17:45:00,-1.0
2022-05-05 17:48:00,-1.0
2022-05-05 17:51:00,-1.0
2022-05-05 17:54:00,-1.0
2022-05-05 17:57:00,-1.0
2022-05-05 18:00:00,-1.0
2022-05-05 18:03:00,-1.0
2022-05-05 18:06:00,-1.0
2022-05-05 18:09:00,-1.0
2022-05-05 18:12:00,-1.0
2022-05-05 18:15:00,-1.0
2022-05-05 18:18:00,-1.0
2022-05-05 18:21:00,-1.0
2022-05-05 18:24:00,-1.0
2022-05-05 18:27:00,-1.0
