datetime,chain_detected
2025-10-07 13:31:00,0.0
2025-10-07 13:31:01,0.0
2025-10-07 13:31:02,0.0
2025-10-07 13:31:03,0.0
2025-10-07 13:31:04,0.0
2025-10-07 13:31:05,0.0
2025-10-07 13:31:06,0.0
2025-10-07 13:31:07,0.0
2025-10-07 13:31:08,0.0
2025-10-07 13:31:09,0.0
2025-10-07 13:31:10,0.0
2025-10-07 13:31:11,0.0
2025-10-07 13:31:12,0.0
2025-10-07 13:31:13,0.0
2025-10-07 13:31:14,0.0
2025-10-07 13:31:15,-1.0
2025-10-07 13:31:16,0.0
2025-10-07 13:31:17,0.0
2025-10-07 13:31:18,-1.0
2025-10-07 13:31:19,0.0
2025-10-07 13:31:20,0.0
2025-10-07 13:31:21,0.0
2025-10-07 13:31:22,0.0
2025-10-07 13:31:23,0.0
2025-10-07 13:31:24,0.0
2025-10-07 13:31:25,0.0
2025-10-07 13:31:26,0.0
2025-10-07 13:31:27,0.0
2025-10-07 13:31:28,0.0
2025-10-07 13:31:29,0.0
2025-10-07 13:31:30,0.0
2025-10-07 13:31:31,0.0
2025-10-07 13:31:32,0.0
2025-10-07 13:31:33,0.0
2025-10-07 13:31:34,0.0
2025-10-07 13:31:35,0.0
2025-10-07 13:31:36,-1.0
2025-10-07 13:31:37,-1.0
2025-10-07 13:31:38,-1.0
2025-10-07 13:31:39,-1.0
2025-10-07 13:31:40,-1.0
2025-10-07 13:31:41,-1.0
2025-10-07 13:31:42,-1.0
2025-10-07 13:31:43,-1.0
2025-10-07 13:31:44,-1.0
2025-10-07 13:31:45,-1.0
2025-10-07 13:31:46,-1.0
2025-10-07 13:31:47,-1.0
2025-10-07 13:31:48,-1.0
2025-10-07 13:31:49,-1.0
2025-10-07 13:31:50,-1.0
2025-10-07 13:31:51,-1.0
2025-10-07 13:31:52,-1.0
2025-10-07 13:31:53,-1.0
2025-10-07 13:31:54,-1.0
2025-10-07 13:31:55,-1.0
2025-10-07 13:31:56,-1.0
2025-10-07 13:31:57,-1.0
2025-10-07 13:31:58,-1.0
2025-10-07 13:31:59,-1.0
2025-10-07 13:32:00,-1.0
2025-10-07 13:32:01,-1.0
2025-10-07 13:32:02,-1.0
2025-10-07 13:32:03,-1.0
2025-10-07 13:32:04,-1.0
2025-10-07 13:32:05,-1.0
2025-10-07 13:32:06,-1.0
2025-10-07 13:32:07,-1.0
2025-10-07 13:32:08,-1.0
2025-10-07 13:32:09,-1.0
2025-10-07 13:32:10,-1.0
2025-10-07 13:32:11,-1.0
2025-10-07 13:32:12,-1.0
2025-10-07 13:32:13,-1.0
2025-10-07 13:32:14,-1.0
2025-10-07 13:32:15,-1.0
2025-10-07 13:32:16,-1.0
2025-10-07 13:32:17,-1.0
2025-10-07 13:32:18,-1.0
2025-10-07 13:32:19,-1.0
2025-10-07 13:32:20,-1.0
2025-10-07 13:32:21,-1.0
2025-10-07 13:32:22,0.0
2025-10-07 13:32:23,0.0
2025-10-07 13:32:24,0.0
2025-10-07 13:32:25,0.0
2025-10-07 13:32:26,0.0
2025-10-07 13:32:27,0.0
2025-10-07 13:32:28,0.0
2025-10-07 13:32:29,0.0
2025-10-07 13:32:30,0.0
2025-10-07 13:32:31,0.0
2025-10-07 13:32:32,0.0
2025-10-07 13:32:33,0.0
2025-10-07 13:32:34,-1.0
2025-10-07 13:32:35,-1.0
2025-10-07 13:32:36,-1.0
2025-10-07 13:32:37,-1.0
2025-10-07 13:32:38,-1.0
2025-10-07 13:32:39,-1.0
2025-10-07 13:32:40,-1.0
2025-10-07 13:32:41,-1.0
2025-10-07 13:32:42,-1.0
2025-10-07 13:32:43,-1.0
2025-10-07 13:32:44,-1.0
2025-10-07 13:32:45,-1.0
2025-10-07 13:32:46,-1.0
2025-10-07 13:32:47,-1.0
2025-10-07 13:32:48,-1.0
2025-10-07 13:32:49,-1.0
2025-10-07 13:32:50,-1.0
2025-10-07 13:32:51,-1.0
2025-10-07 13:32:52,-1.0
2025-10-07 13:32:53,-1.0
2025-10-07 13:32:54,-1.0
2025-10-07 13:32:55,-1.0
2025-10-07 13:32:56,-1.0
2025-10-07 13:32:57,-1.0
2025-10-07 13:32:58,-1.0
2025-10-07 13:32:59,-1.0
2025-10-07 13:33:00,-1.0
2025-10-07 13:33:01,-1.0
2025-10-07 13:33:02,-1.0
2025-10-07 13:33:03,-1.0
2025-10-07 13:33:04,-1.0
2025-10-07 13:33:05,-1.0
2025-10-07 13:33:06,-1.0
2025-10-07 13:33:07,-1.0
2025-10-07 13:33:08,-1.0
2025-10-07 13:33:09,-1.0
2025-10-07 13:33:10,-1.0
2025-10-07 13:33:11,-1.0
2025-10-07 13:33:12,-1.0
2025-10-07 13:33:13,-1.0
2025-10-07 13:33:14,-1.0
2025-10-07 13:33:15,-1.0
2025-10-07 13:33:16,-1.0
2025-10-07 13:33:17,-1.0
2025-10-07 13:33:18,-1.0
2025-10-07 13:33:19,-1.0
2025-10-07 13:33:20,-1.0
2025-10-07 13:33:21,-1.0
2025-10-07 13:33:22,-1.0
2025-10-07 13:33:23,-1.0
2025-10-07 13:33:24,-1.0
2025-10-07 13:33:25,-1.0
2025-10-07 13:33:26,-1.0
2025-10-07 13:33:27,-1.0
2025-10-07 13:33:28,-1.0
2025-10-07 13:33:29,-1.0
2025-10-07 13:33:30,-1.0
2025-10-07 13:33:31,-1.0
2025-10-07 13:33:32,-1.0
2025-10-07 13:33:33,-1.0
2025-10-07 13:33:34,-1.0
2025-10-07 13:33:35,-1.0
2025-10-07 13:33:36,-1.0
2025-10-07 13:33:37,-1.0
2025-10-07 13:33:38,-1.0
2025-10-07 13:33:39,-1.0
2025-10-07 13:33:40,-1.0
2025-10-07 13:33:41,-1.0
2025-10-07 13:33:42,-1.0
2025-10-07 13:33:43,-1.0
2025-10-07 13:33:44,-1.0
2025-10-07 13:33:45,-1.0
2025-10-07 13:33:46,-1.0
2025-10-07 13:33:47,-1.0
2025-10-07 13:33:48,-1.0
2025-10-07 13:33:49,-1.0
2025-10-07 13:33:50,-1.0
2025-10-07 13:33:51,-1.0
2025-10-07 13:33:52,-1.0
2025-10-07 13:33:53,-1.0
2025-10-07 13:33:54,-1.0
2025-10-07 13:33:55,-1.0
2025-10-07 13:33:56,-1.0
2025-10-07 13:33:57,-1.0
2025-10-07 13:33:58,-1.0
2025-10-07 13:33:59,-1.0
2025-10-07 13:34:00,-1.0
2025-10-07 13:34:01,-1.0
2025-10-07 13:34:02,-1.0
2025-10-07 13:34:03,-1.0
2025-10-07 13:34:04,-1.0
2025-10-07 13:34:05,-1.0
2025-10-07 13:34:06,-1.0
2025-10-07 13:34:07,-1.0
2025-10-07 13:34:08,-1.0
2025-10-07 13:34:09,-1.0
2025-10-07 13:34:10,-1.0
2025-10-07 13:34:11,-1.0
2025-10-07 13:34:12,-1.0
2025-10-07 13:34:13,-1.0
2025-10-07 13:34:14,-1.0
2025-10-07 13:34:15,-1.0
2025-10-07 13:34:16,-1.0
2025-10-07 13:34:17,-1.0
2025-10-07 13:34:18,-1.0
2025-10-07 13:34:19,-1.0
2025-10-07 13:34:20,-1.0
2025-10-07 13:34:21,-1.0
2025-10-07 13:34:22,-1.0
2025-10-07 13:34:23,-1.0
2025-10-07 13:34:24,-1.0
2025-10-07 13:34:25,-1.0
2025-10-07 13:34:26,-1.0
2025-10-07 13:34:27,-1.0
2025-10-07 13:34:28,-1.0
2025-10-07 13:34:29,-1.0
2025-10-07 13:34:30,-1.0
2025-10-07 13:34:31,-1.0
2025-10-07 13:34:32,-1.0
2025-10-07 13:34:33,-1.0
2025-10-07 13:34:34,-1.0
2025-10-07 13:34:35,-1.0
2025-10-07 13:34:36,-1.0
2025-10-07 13:34:37,-1.0
2025-10-07 13:34:38,-1.0
2025-10-07 13:34:39,-1.0
2025-10-07 13:34:40,-1.0
2025-10-07 13:34:41,-1.0
2025-10-07 13:34:42,-1.0
2025-10-07 13:34:43,-1.0
2025-10-07 13:34:44,-1.0
2025-10-07 13:34:45,-1.0
2025-10-07 13:34:46,-1.0
2025-10-07 13:34:47,-1.0
2025-10-07 13:34:48,-1.0
2025-10-07 13:34:49,-1.0
2025-10-07 13:34:50,-1.0
2025-10-07 13:34:51,-1.0
2025-10-07 13:34:52,-1.0
2025-10-07 13:34:53,-1.0
2025-10-07 13:34:54,-1.0
2025-10-07 13:34:55,-1.0
2025-10-07 13:34:56,-1.0
2025-10-07 13:34:57,-1.0
2025-10-07 13:34:58,-1.0
2025-10-07 13:34:59,-1.0
2025-10-07 13:35:00,-1.0
2025-10-07 13:35:01,-1.0
2025-10-07 13:35:02,-1.0
2025-10-07 13:35:03,-1.0
2025-10-07 13:35:04,-1.0
2025-10-07 13:35:05,-1.0
2025-10-07 13:35:06,-1.0
2025-10-07 13:35:07,-1.0
2025-10-07 13:35:08,-1.0
2025-10-07 13:35:09,-1.0
2025-10-07 13:35:10,-1.0
2025-10-07 13:35:11,-1.0
2025-10-07 13:35:12,-1.0
2025-10-07 13:35:13,-1.0
2025-10-07 13:35:14,-1.0
2025-10-07 13:35:15,-1.0
2025-10-07 13:35:16,-1.0
