datetime,chain_detected
2025-10-20 19:59:59,1.0
2025-10-20 20:00:00,1.0
2025-10-20 20:00:01,1.0
2025-10-20 20:00:02,1.0
2025-10-20 20:00:07,1.0
2025-10-20 20:00:25,1.0
2025-10-20 20:00:26,1.0
2025-10-20 20:00:27,1.0
2025-10-20 20:00:30,1.0
2025-10-20 20:00:33,1.0
2025-10-20 20:00:36,1.0
2025-10-20 20:00:41,1.0
2025-10-20 20:00:55,1.0
2025-10-20 20:00:56,1.0
2025-10-20 20:00:58,1.0
2025-10-20 20:00:59,1.0
2025-10-20 20:01:13,1.0
2025-10-20 20:01:15,1.0
2025-10-20 20:01:19,1.0
2025-10-20 20:01:25,1.0
2025-10-20 20:01:34,1.0
2025-10-20 20:01:40,1.0
2025-10-20 20:01:41,1.0
2025-10-20 20:01:44,0
2025-10-20 20:01:45,0
2025-10-20 20:01:49,0
2025-10-20 20:01:50,0
2025-10-20 20:01:51,0
2025-10-20 20:01:52,0
2025-10-20 20:01:53,0
2025-10-20 20:01:55,0
2025-10-20 20:01:56,0
2025-10-20 20:01:57,0
2025-10-20 20:01:58,0
2025-10-20 20:02:02,-1.0
2025-10-20 20:02:03,0
2025-10-20 20:02:04,-1.0
2025-10-20 20:02:07,-1.0
2025-10-20 20:02:08,-1.0
2025-10-20 20:02:09,-1.0
2025-10-20 20:02:10,-1.0
2025-10-20 20:02:11,-1.0
2025-10-20 20:02:12,-1.0
2025-10-20 20:02:13,-1.0
2025-10-20 20:02:14,-1.0
2025-10-20 20:02:15,-1.0
2025-10-20 20:02:16,-1.0
2025-10-20 20:02:17,-1.0
2025-10-20 20:02:18,-1.0
2025-10-20 20:02:21,-1.0
2025-10-20 20:02:22,-1.0
2025-10-20 20:02:24,-1.0
2025-10-20 20:02:25,-1.0
2025-10-20 20:02:26,-1.0
2025-10-20 20:02:27,-1.0
2025-10-20 20:02:28,-1.0
2025-10-20 20:02:33,-1.0
2025-10-20 20:02:34,-1.0
2025-10-20 20:02:36,-1.0
2025-10-20 20:02:37,-1.0
2025-10-20 20:02:38,-1.0
2025-10-20 20:02:39,-1.0
2025-10-20 20:02:40,-1.0
2025-10-20 20:02:41,-1.0
2025-10-20 20:02:42,-1.0
2025-10-20 20:02:44,-1.0
2025-10-20 20:02:45,-1.0
2025-10-20 20:02:46,-1.0
2025-10-20 20:02:47,-1.0
2025-10-20 20:02:48,-1.0
2025-10-20 20:02:49,-1.0
2025-10-20 20:02:50,-1.0
2025-10-20 20:02:51,-1.0
2025-10-20 20:02:52,-1.0
2025-10-20 20:02:54,-1.0
2025-10-20 20:02:55,-1.0
2025-10-20 20:02:56,-1.0
2025-10-20 20:02:57,-1.0
2025-10-20 20:02:58,-1.0
2025-10-20 20:02:59,-1.0
2025-10-20 20:03:03,-1.0
2025-10-20 20:03:04,-1.0
2025-10-20 20:03:05,-1.0
2025-10-20 20:03:06,-1.0
2025-10-20 20:03:10,-1.0
2025-10-20 20:03:14,-1.0
2025-10-20 20:03:15,-1.0
2025-10-20 20:03:17,-1.0
2025-10-20 20:03:18,-1.0
2025-10-20 20:03:22,-1.0
2025-10-20 20:03:24,-1.0
2025-10-20 20:03:26,-1.0
2025-10-20 20:03:28,-1.0
2025-10-20 20:03:31,-1.0
2025-10-20 20:03:33,-1.0
2025-10-20 20:03:35,-1.0
2025-10-20 20:03:37,-1.0
2025-10-20 20:03:42,-1.0
2025-10-20 20:03:43,-1.0
2025-10-20 20:03:48,-1.0
2025-10-20 20:03:56,-1.0
2025-10-20 20:03:57,-1.0
2025-10-20 20:04:02,-1.0
2025-10-20 20:04:03,-1.0
2025-10-20 20:04:06,-1.0
2025-10-20 20:04:09,-1.0
2025-10-20 20:04:14,-1.0
2025-10-20 20:04:15,-1.0
2025-10-20 20:04:16,-1.0
2025-10-20 20:04:18,-1.0
2025-10-20 20:04:19,-1.0
2025-10-20 20:04:24,-1.0
2025-10-20 20:04:25,-1.0
2025-10-20 20:04:32,-1.0
2025-10-20 20:04:35,-1.0
2025-10-20 20:04:37,-1.0
2025-10-20 20:04:38,-1.0
2025-10-20 20:04:40,-1.0
2025-10-20 20:04:43,-1.0
2025-10-20 20:04:50,-1.0
2025-10-20 20:04:51,-1.0
2025-10-20 20:04:52,-1.0
2025-10-20 20:04:53,-1.0
2025-10-20 20:05:02,-1.0
2025-10-20 20:05:03,-1.0
2025-10-20 20:05:05,-1.0
2025-10-20 20:05:08,-1.0
2025-10-20 20:05:10,-1.0
2025-10-20 20:05:11,-1.0
2025-10-20 20:05:20,-1.0
2025-10-20 20:05:22,-1.0
2025-10-20 20:05:39,-1.0
2025-10-20 20:05:42,-1.0
2025-10-20 20:06:01,-1.0
2025-10-20 20:06:09,-1.0
2025-10-20 20:06:16,-1.0
2025-10-20 20:06:20,-1.0
2025-10-20 20:06:24,0
2025-10-20 20:06:26,0
2025-10-20 20:06:29,-1.0
2025-10-20 20:06:30,-1.0
2025-10-20 20:06:32,-1.0
2025-10-20 20:06:33,-1.0
2025-10-20 20:06:34,-1.0
2025-10-20 20:06:37,-1.0
2025-10-20 20:06:39,-1.0
2025-10-20 20:06:44,-1.0
2025-10-20 20:06:46,-1.0
2025-10-20 20:06:47,-1.0
2025-10-20 20:06:51,-1.0
2025-10-20 20:06:54,-1.0
2025-10-20 20:06:55,-1.0
2025-10-20 20:06:58,-1.0
2025-10-20 20:07:04,-1.0
2025-10-20 20:07:07,-1.0
2025-10-20 20:07:13,-1.0
2025-10-20 20:07:15,-1.0
2025-10-20 20:07:22,-1.0
2025-10-20 20:07:25,-1.0
2025-10-20 20:07:27,-1.0
2025-10-20 20:07:28,-1.0
2025-10-20 20:07:29,-1.0
2025-10-20 20:07:43,-1.0
2025-10-20 20:07:58,-1.0
2025-10-20 20:08:03,-1.0
2025-10-20 20:08:07,-1.0
2025-10-20 20:08:09,-1.0
2025-10-20 20:08:16,-1.0
2025-10-20 20:08:17,-1.0
2025-10-20 20:08:19,-1.0
2025-10-20 20:08:22,-1.0
2025-10-20 20:08:41,-1.0
2025-10-20 20:08:46,-1.0
2025-10-20 20:08:47,-1.0
2025-10-20 20:08:50,-1.0
2025-10-20 20:09:17,-1.0
2025-10-20 20:09:20,-1.0
2025-10-20 20:09:23,-1.0
2025-10-20 20:09:25,-1.0
2025-10-20 20:09:26,-1.0
2025-10-20 20:09:27,-1.0
2025-10-20 20:09:29,-1.0
2025-10-20 20:09:30,-1.0
2025-10-20 20:09:34,-1.0
2025-10-20 20:09:38,-1.0
2025-10-20 20:09:39,-1.0
2025-10-20 20:09:44,-1.0
2025-10-20 20:09:45,-1.0
2025-10-20 20:09:48,-1.0
2025-10-20 20:09:49,-1.0
2025-10-20 20:09:52,-1.0
2025-10-20 20:09:55,-1.0
2025-10-20 20:09:56,-1.0
2025-10-20 20:09:57,-1.0
2025-10-20 20:10:05,-1.0
2025-10-20 20:10:12,-1.0
2025-10-20 20:10:14,-1.0
2025-10-20 20:10:15,-1.0
2025-10-20 20:10:23,-1.0
2025-10-20 20:10:24,-1.0
2025-10-20 20:10:40,-1.0
2025-10-20 20:10:44,-1.0
2025-10-20 20:10:52,-1.0
2025-10-20 20:10:54,-1.0
2025-10-20 20:11:00,-1.0
2025-10-20 20:11:15,-1.0
2025-10-20 20:11:16,-1.0
2025-10-20 20:11:17,-1.0
2025-10-20 20:11:24,-1.0
2025-10-20 20:11:29,-1.0
2025-10-20 20:11:37,-1.0
2025-10-20 20:11:41,-1.0
2025-10-20 20:11:42,-1.0
2025-10-20 20:11:43,-1.0
2025-10-20 20:11:46,-1.0
2025-10-20 20:11:47,-1.0
2025-10-20 20:12:03,-1.0
2025-10-20 20:12:07,-1.0
2025-10-20 20:12:22,-1.0
2025-10-20 20:12:31,-1.0
2025-10-20 20:12:34,-1.0
2025-10-20 20:12:45,-1.0
2025-10-20 20:13:25,-1.0
2025-10-20 20:13:31,-1.0
2025-10-20 20:13:32,-1.0
2025-10-20 20:13:33,-1.0
2025-10-20 20:13:34,-1.0
2025-10-20 20:13:35,-1.0
2025-10-20 20:13:36,-1.0
2025-10-20 20:13:37,-1.0
2025-10-20 20:13:38,-1.0
2025-10-20 20:13:41,-1.0
2025-10-20 20:13:43,-1.0
2025-10-20 20:13:45,-1.0
2025-10-20 20:13:46,-1.0
2025-10-20 20:13:47,-1.0
2025-10-20 20:13:48,-1.0
2025-10-20 20:13:49,-1.0
2025-10-20 20:13:51,-1.0
2025-10-20 20:13:53,-1.0
2025-10-20 20:13:55,-1.0
2025-10-20 20:13:57,-1.0
2025-10-20 20:13:58,-1.0
2025-10-20 20:13:59,-1.0
2025-10-20 20:14:01,-1.0
2025-10-20 20:14:05,-1.0
2025-10-20 20:14:06,-1.0
2025-10-20 20:14:08,-1.0
2025-10-20 20:14:10,-1.0
2025-10-20 20:14:13,-1.0
2025-10-20 20:14:18,-1.0
2025-10-20 20:14:21,-1.0
2025-10-20 20:14:22,-1.0
2025-10-20 20:14:26,-1.0
2025-10-20 20:14:40,-1.0
2025-10-20 20:14:43,-1.0
2025-10-20 20:14:55,-1.0
2025-10-20 20:15:03,-1.0
2025-10-20 20:15:06,-1.0
2025-10-20 20:15:26,-1.0
2025-10-20 20:15:30,-1.0
2025-10-20 20:15:36,-1.0
2025-10-20 20:15:43,-1.0
2025-10-20 20:15:45,-1.0
2025-10-20 20:15:55,-1.0
2025-10-20 20:15:56,-1.0
2025-10-20 20:16:01,-1.0
2025-10-20 20:16:02,-1.0
2025-10-20 20:16:11,-1.0
2025-10-20 20:16:14,-1.0
2025-10-20 20:16:24,-1.0
2025-10-20 20:16:34,-1.0
2025-10-20 20:16:41,-1.0
2025-10-20 20:16:42,-1.0
2025-10-20 20:16:47,-1.0
2025-10-20 20:16:48,-1.0
2025-10-20 20:16:49,-1.0
2025-10-20 20:16:56,-1.0
2025-10-20 20:16:58,-1.0
2025-10-20 20:16:59,-1.0
2025-10-20 20:17:00,-1.0
2025-10-20 20:17:02,-1.0
2025-10-20 20:17:04,-1.0
2025-10-20 20:17:09,-1.0
2025-10-20 20:17:10,-1.0
2025-10-20 20:17:12,-1.0
2025-10-20 20:17:17,-1.0
2025-10-20 20:17:19,-1.0
2025-10-20 20:17:20,-1.0
2025-10-20 20:17:21,-1.0
2025-10-20 20:17:23,-1.0
2025-10-20 20:17:24,-1.0
2025-10-20 20:17:25,-1.0
2025-10-20 20:17:26,-1.0
2025-10-20 20:17:27,-1.0
2025-10-20 20:17:29,-1.0
2025-10-20 20:17:32,-1.0
2025-10-20 20:17:33,-1.0
2025-10-20 20:17:34,-1.0
2025-10-20 20:17:37,-1.0
2025-10-20 20:17:43,-1.0
2025-10-20 20:17:44,-1.0
2025-10-20 20:17:48,-1.0
2025-10-20 20:17:52,-1.0
2025-10-20 20:17:53,-1.0
2025-10-20 20:17:56,-1.0
2025-10-20 20:18:01,-1.0
2025-10-20 20:18:03,-1.0
2025-10-20 20:18:04,-1.0
2025-10-20 20:18:06,-1.0
2025-10-20 20:18:13,-1.0
2025-10-20 20:18:18,-1.0
2025-10-20 20:18:21,-1.0
2025-10-20 20:18:27,-1.0
2025-10-20 20:18:33,-1.0
2025-10-20 20:18:36,-1.0
2025-10-20 20:18:38,-1.0
2025-10-20 20:18:39,-1.0
2025-10-20 20:18:41,-1.0
2025-10-20 20:18:50,-1.0
2025-10-20 20:18:52,-1.0
2025-10-20 20:18:53,-1.0
2025-10-20 20:18:54,-1.0
2025-10-20 20:18:56,-1.0
2025-10-20 20:18:58,-1.0
2025-10-20 20:18:59,-1.0
2025-10-20 20:19:04,-1.0
2025-10-20 20:19:06,-1.0
2025-10-20 20:19:07,-1.0
2025-10-20 20:19:19,-1.0
2025-10-20 20:19:20,-1.0
2025-10-20 20:19:21,-1.0
2025-10-20 20:19:27,-1.0
2025-10-20 20:19:29,-1.0
2025-10-20 20:19:34,-1.0
2025-10-20 20:19:35,-1.0
2025-10-20 20:19:37,-1.0
2025-10-20 20:19:39,-1.0
2025-10-20 20:19:43,-1.0
2025-10-20 20:19:47,-1.0
2025-10-20 20:19:49,-1.0
2025-10-20 20:19:57,-1.0
2025-10-20 20:19:58,-1.0
2025-10-20 20:20:00,-1.0
2025-10-20 20:20:06,-1.0
2025-10-20 20:20:13,-1.0
2025-10-20 20:20:16,-1.0
2025-10-20 20:20:19,-1.0
2025-10-20 20:20:29,-1.0
2025-10-20 20:20:30,-1.0
2025-10-20 20:20:32,-1.0
2025-10-20 20:20:36,-1.0
2025-10-20 20:20:37,-1.0
2025-10-20 20:20:45,-1.0
2025-10-20 20:20:55,-1.0
2025-10-20 20:20:58,-1.0
2025-10-20 20:21:00,-1.0
2025-10-20 20:21:07,-1.0
2025-10-20 20:21:18,-1.0
2025-10-20 20:21:27,-1.0
2025-10-20 20:21:38,-1.0
2025-10-20 20:21:39,-1.0
2025-10-20 20:21:43,-1.0
2025-10-20 20:21:49,-1.0
2025-10-20 20:21:58,-1.0
2025-10-20 20:22:10,-1.0
