datetime,open,high,low,close,volume
2025-10-07 18:04:00,365.8,365.99,365.71,365.78,29466.0
2025-10-07 18:05:00,365.85,365.99,365.786,365.96,17473.0
2025-10-07 18:06:00,365.95,366.12,365.94,366.11,26527.0
2025-10-07 18:07:00,366.12,366.21,366.0784,366.21,31021.0
2025-10-07 18:08:00,366.205,366.31,366.19,366.29,37051.0
2025-10-07 18:09:00,366.29,366.309,366.02,366.02,28293.0
2025-10-07 18:10:00,366.0,366.0939,365.951,366.01,11885.0
2025-10-07 18:11:00,366.03,366.22,366.02,366.22,17647.0
2025-10-07 18:12:00,366.25,366.29,366.15,366.22,10080.0
2025-10-07 18:13:00,366.2287,366.35,366.22,366.35,30080.0
2025-10-07 18:14:00,366.35,366.51,366.32,366.49,36014.0
2025-10-07 18:15:00,366.51,366.62,366.51,366.6,15972.0
2025-10-07 18:16:00,366.585,366.59,366.42,366.49,9342.0
2025-10-07 18:17:00,366.4813,366.55,366.38,366.41,6200.0
2025-10-07 18:18:00,366.4101,366.4399,366.2837,366.4,7953.0
2025-10-07 18:19:00,366.4,366.52,366.4,366.49,9950.0
2025-10-07 18:20:00,366.4899,366.51,366.4,366.4,15466.0
2025-10-07 18:21:00,366.43,366.5,366.355,366.488,22541.0
2025-10-07 18:22:00,366.4777,366.565,366.4551,366.565,12833.0
2025-10-07 18:23:00,366.56,366.56,366.31,366.38,21325.0
2025-10-07 18:24:00,366.3923,366.46,366.3923,366.4124,7164.0
2025-10-07 18:25:00,366.425,366.47,366.42,366.47,5235.0
2025-10-07 18:26:00,366.47,366.59,366.47,366.47,29343.0
2025-10-07 18:27:00,366.49,366.5,366.44,366.49,8314.0
2025-10-07 18:28:00,366.48,366.48,366.363,366.37,7347.0
2025-10-07 18:29:00,366.31,366.339,366.24,366.27,11865.0
2025-10-07 18:30:00,366.27,366.34,366.19,366.2299,73266.0
2025-10-07 18:31:00,366.23,366.39,366.23,366.38,23653.0
2025-10-07 18:32:00,366.39,366.44,366.36,366.39,29240.0
2025-10-07 18:33:00,366.38,366.45,366.36,366.45,25835.0
2025-10-07 18:34:00,366.44,366.45,366.27,366.27,12314.0
2025-10-07 18:35:00,366.26,366.29,366.21,366.24,18042.0
2025-10-07 18:36:00,366.2,366.32,366.13,366.26,10695.0
2025-10-07 18:37:00,366.28,366.37,366.28,366.3699,10267.0
2025-10-07 18:38:00,366.37,366.39,366.33,366.38,5386.0
2025-10-07 18:39:00,366.38,366.38,366.21,366.21,11916.0
2025-10-07 18:40:00,366.2,366.3265,366.17,366.31,51309.0
2025-10-07 18:41:00,366.32,366.35,366.257,366.35,6952.0
2025-10-07 18:42:00,366.33,366.38,366.2,366.27,17007.0
2025-10-07 18:43:00,366.3,366.47,366.29,366.45,40526.0
