datetime,open,high,low,close,volume,close_time,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume,ignore
2025-09-13 15:05:00,115808.43,115865.99,115808.43,115865.98,15.27943,2025-09-13 15:09:59.999,1769996.9531329,2790,9.32083,1079750.0070718,0
2025-09-13 15:10:00,115865.98,115871.51,115854.0,115854.0,14.01554,2025-09-13 15:14:59.999,1623930.4411239,1765,6.01618,697083.6952615,0
2025-09-13 15:15:00,115854.0,115905.88,115854.0,115905.88,15.44924,2025-09-13 15:19:59.999,1790229.5189727,2827,14.08963,1632682.3178064,0
2025-09-13 15:20:00,115905.87,115924.6,115861.57,115861.58,22.53979,2025-09-13 15:24:59.999,2612221.4767197,3707,8.13899,943230.2044352,0
2025-09-13 15:25:00,115861.57,115885.15,115828.3,115828.31,16.85249,2025-09-13 15:29:59.999,1952635.5435178,3929,8.30525,962347.9663467,0
2025-09-13 15:30:00,115828.3,115828.31,115679.0,115705.99,40.51856,2025-09-13 15:34:59.999,4688940.7226191,9724,9.2432,1069615.2116753,0
2025-09-13 15:35:00,115705.99,115753.68,115680.9,115681.53,24.99848,2025-09-13 15:39:59.999,2892322.9445868,5643,12.03369,1392238.4083462,0
2025-09-13 15:40:00,115681.54,115747.0,115619.57,115746.99,56.44029,2025-09-13 15:44:59.999,6528834.0941774,8933,33.89584,3921101.0592114,0
2025-09-13 15:45:00,115746.99,115794.88,115678.16,115688.01,26.85547,2025-09-13 15:49:59.999,3108524.0615131,7314,9.07199,1050193.4752624,0
2025-09-13 15:50:00,115688.0,115744.66,115688.0,115736.45,20.62761,2025-09-13 15:54:59.999,2387091.5342302,5200,11.1366,1288731.5888897,0
2025-09-13 15:55:00,115736.45,115768.69,115720.31,115768.68,15.21637,2025-09-13 15:59:59.999,1761258.9808579,3322,9.67369,1119714.3189086,0
2025-09-13 16:00:00,115768.68,115817.37,115767.76,115805.0,32.14749,2025-09-13 16:04:59.999,3722217.0926224,5049,18.70639,2165914.9916661,0
2025-09-13 16:05:00,115804.99,115812.33,115666.27,115677.95,47.25096,2025-09-13 16:09:59.999,5470134.7313053,7158,17.26239,1998148.2876724,0
2025-09-13 16:10:00,115677.95,115700.0,115621.12,115650.29,37.4338,2025-09-13 16:14:59.999,4329592.1115136,9900,12.31786,1424669.3455027,0
2025-09-13 16:15:00,115650.29,115650.29,115588.6,115622.25,45.12658,2025-09-13 16:19:59.999,5217453.3535514,7702,19.04694,2202119.7830102,0
2025-09-13 16:20:00,115622.25,115629.37,115463.52,115510.71,123.53233,2025-09-13 16:24:59.999,14269942.0508034,14517,25.83226,2984282.8150521,0
2025-09-13 16:25:00,115510.7,115564.0,115494.99,115542.9,21.78223,2025-09-13 16:29:59.999,2516374.0669377,7273,10.55734,1219627.7584871,0
2025-09-13 16:30:00,115542.91,115589.99,115465.65,115501.33,26.40712,2025-09-13 16:34:59.999,3050631.2450645,7059,10.29151,1189027.7259522,0
2025-09-13 16:35:00,115501.34,115540.0,115490.95,115525.51,14.93064,2025-09-13 16:39:59.999,1724752.1370573,5181,6.80287,785834.0708815,0
2025-09-13 16:40:00,115525.5,115525.51,115127.27,115435.43,172.67762,2025-09-13 16:44:59.999,19912260.2900189,26094,55.08281,6350106.1174092,0
2025-09-13 16:45:00,115435.42,115435.43,115230.0,115276.61,99.0081,2025-09-13 16:49:59.999,11416896.0217816,21973,51.42616,5929647.979267,0
2025-09-13 16:50:00,115276.61,115410.84,115269.19,115355.38,55.15375,2025-09-13 16:54:59.999,6361670.2056469,18439,34.11531,3934751.7215854,0
2025-09-13 16:55:00,115355.39,115410.59,115322.0,115334.0,25.36768,2025-09-13 16:59:59.999,2926379.8676199,8199,7.38878,852310.1030617,0
