datetime,open,high,low,close,volume
2025-10-15 08:00:00,387.13,387.13,386.1,386.97,4442.0
2025-10-15 08:00:10,386.94,386.94,386.94,386.94,118.0
2025-10-15 08:00:15,387.04,387.1,386.92,386.97,2385.0
2025-10-15 08:00:20,387.1,387.19,386.97,387.12,3347.0
2025-10-15 08:00:25,387.1,387.13,387.09,387.09,2339.0
2025-10-15 08:00:45,387.06,387.06,387.06,387.06,205.0
2025-10-15 08:00:50,387.09,387.09,387.09,387.09,100.0
2025-10-15 08:01:00,387.08,387.08,387.08,387.08,220.0
2025-10-15 08:01:05,387.2,387.2,387.2,387.2,173.0
2025-10-15 08:01:10,387.2,387.2,387.19,387.19,613.0
2025-10-15 08:01:15,387.14,387.14,387.08,387.08,2699.0
2025-10-15 08:01:20,387.12,387.12,387.1,387.1,556.0
2025-10-15 08:01:35,387.11,387.11,387.11,387.11,177.0
2025-10-15 08:01:45,387.16,387.16,387.16,387.16,178.0
2025-10-15 08:01:55,387.19,387.19,387.16,387.16,514.0
2025-10-15 08:02:00,387.17,387.17,387.16,387.16,404.0
2025-10-15 08:02:05,387.21,387.21,387.21,387.21,135.0
2025-10-15 08:02:15,387.25,387.28,387.24,387.28,1526.0
2025-10-15 08:02:30,387.24,387.25,387.24,387.25,1196.0
2025-10-15 08:04:50,387.24,387.24,387.24,387.24,272.0
2025-10-15 08:05:10,387.35,387.35,387.35,387.35,100.0
2025-10-15 08:05:25,387.39,387.39,387.39,387.39,317.0
2025-10-15 08:06:05,387.38,387.39,387.38,387.39,331.0
2025-10-15 08:06:25,387.39,387.4,387.39,387.4,222.0
2025-10-15 08:08:00,387.52,387.52,387.52,387.52,646.0
2025-10-15 08:08:10,387.56,387.56,387.56,387.56,302.0
2025-10-15 08:08:45,387.56,387.56,387.56,387.56,100.0
2025-10-15 08:08:50,387.65,387.65,387.65,387.65,200.0
2025-10-15 08:09:15,387.7,387.7,387.7,387.7,100.0
2025-10-15 08:10:05,387.81,387.81,387.81,387.81,100.0
2025-10-15 08:10:35,387.88,387.91,387.88,387.91,266.0
2025-10-15 08:10:40,387.96,387.96,387.96,387.96,100.0
2025-10-15 08:10:45,387.84,387.84,387.8,387.81,1173.0
