datetime,open,high,low,close,volume
2025-10-15 08:00:00,387.13,387.13,386.1,386.97,4442.0
2025-10-15 08:00:15,386.94,387.1,386.92,386.97,2503.0
2025-10-15 08:00:30,387.1,387.19,386.97,387.09,5686.0
2025-10-15 08:00:45,387.06,387.06,387.06,387.06,205.0
2025-10-15 08:01:00,387.09,387.09,387.08,387.08,320.0
2025-10-15 08:01:15,387.2,387.2,387.08,387.08,3485.0
2025-10-15 08:01:30,387.12,387.12,387.1,387.1,556.0
2025-10-15 08:01:45,387.11,387.16,387.11,387.16,355.0
2025-10-15 08:02:00,387.19,387.19,387.16,387.16,918.0
2025-10-15 08:02:15,387.21,387.28,387.21,387.28,1661.0
2025-10-15 08:02:30,387.24,387.25,387.24,387.25,1196.0
2025-10-15 08:05:00,387.24,387.24,387.24,387.24,272.0
2025-10-15 08:05:15,387.35,387.35,387.35,387.35,100.0
2025-10-15 08:05:30,387.39,387.39,387.39,387.39,317.0
2025-10-15 08:06:15,387.38,387.39,387.38,387.39,331.0
2025-10-15 08:06:30,387.39,387.4,387.39,387.4,222.0
2025-10-15 08:08:00,387.52,387.52,387.52,387.52,646.0
2025-10-15 08:08:15,387.56,387.56,387.56,387.56,302.0
2025-10-15 08:08:45,387.56,387.56,387.56,387.56,100.0
2025-10-15 08:09:00,387.65,387.65,387.65,387.65,200.0
2025-10-15 08:09:15,387.7,387.7,387.7,387.7,100.0
2025-10-15 08:10:15,387.81,387.81,387.81,387.81,100.0
2025-10-15 08:10:45,387.88,387.96,387.8,387.81,1539.0
2025-10-15 08:11:45,387.88,387.88,387.86,387.88,200.0
2025-10-15 08:12:00,387.92,387.92,387.92,387.92,179.0
2025-10-15 08:12:45,387.85,387.85,387.85,387.85,1962.0
2025-10-15 08:13:30,387.92,387.92,387.92,387.92,102.0
2025-10-15 08:13:45,387.92,387.92,387.92,387.92,179.0
2025-10-15 08:14:00,387.93,387.93,387.93,387.93,250.0
2025-10-15 08:14:30,387.87,387.9,387.83,387.9,2300.0
2025-10-15 08:14:45,387.86,387.91,387.78,387.78,885.0
2025-10-15 08:15:00,387.64,387.64,387.64,387.64,357.0
2025-10-15 08:15:45,387.76,387.76,387.76,387.76,282.0
2025-10-15 08:16:00,387.71,387.71,387.71,387.71,103.0
2025-10-15 08:16:15,387.78,387.78,387.78,387.78,152.0
2025-10-15 08:16:30,387.8,387.9,387.8,387.9,212.0
2025-10-15 08:16:45,387.82,387.82,387.82,387.82,103.0
2025-10-15 08:17:00,387.83,387.83,387.83,387.83,100.0
2025-10-15 08:18:00,387.99,388.0,387.99,388.0,1222.0
2025-10-15 08:18:30,388.08,388.08,388.08,388.08,100.0
2025-10-15 08:20:15,388.08,388.14,388.08,388.14,555.0
2025-10-15 08:20:45,388.06,388.1,388.06,388.1,700.0
2025-10-15 08:21:15,388.0,388.0,388.0,388.0,404.0
2025-10-15 08:22:30,388.05,388.05,388.05,388.05,100.0
2025-10-15 08:22:45,388.0,388.0,388.0,388.0,519.0
2025-10-15 08:23:30,387.87,387.9,387.83,387.9,1100.0
2025-10-15 08:25:45,387.8,387.8,387.8,387.8,316.0
2025-10-15 08:26:15,387.45,387.45,387.4,387.4,423.0
2025-10-15 08:26:30,387.3,387.3,387.26,387.26,594.0
2025-10-15 08:26:45,387.41,387.41,387.41,387.41,168.0
2025-10-15 08:27:00,387.4,387.5,387.4,387.5,1203.0
2025-10-15 08:27:15,387.5,387.5,387.43,387.44,633.0
2025-10-15 08:31:30,387.68,387.68,387.68,387.68,535.0
2025-10-15 08:32:15,387.89,387.9,387.89,387.9,400.0
2025-10-15 08:32:30,388.0,388.0,388.0,388.0,121.0
2025-10-15 08:32:45,388.0,388.0,388.0,388.0,663.0
2025-10-15 08:33:15,388.02,388.02,388.02,388.02,100.0
2025-10-15 08:33:45,387.94,387.96,387.94,387.96,605.0
2025-10-15 08:34:15,388.0,388.02,388.0,388.02,1010.0
2025-10-15 08:34:30,387.98,387.98,387.98,387.98,300.0
2025-10-15 08:37:45,387.86,387.86,387.86,387.86,100.0
2025-10-15 08:38:30,387.85,387.85,387.85,387.85,112.0
2025-10-15 08:40:00,387.97,387.97,387.97,387.97,200.0
2025-10-15 08:42:15,387.99,388.0,387.99,388.0,374.0
2025-10-15 08:43:45,387.88,387.88,387.88,387.88,201.0
2025-10-15 08:44:00,387.88,387.88,387.88,387.88,329.0
2025-10-15 08:45:00,387.88,387.88,387.88,387.88,1000.0
2025-10-15 08:47:30,387.95,387.95,387.95,387.95,107.0
2025-10-15 08:49:00,388.0,388.0,388.0,388.0,292.0
2025-10-15 08:50:15,387.9,387.9,387.9,387.9,200.0
2025-10-15 08:50:45,387.92,387.92,387.92,387.92,191.0
2025-10-15 08:51:15,388.0,388.0,388.0,388.0,463.0
2025-10-15 08:51:30,387.96,387.96,387.96,387.96,219.0
2025-10-15 08:53:15,387.9,387.91,387.9,387.91,275.0
2025-10-15 08:54:15,387.8,387.8,387.8,387.8,198.0
2025-10-15 08:55:15,387.92,387.96,387.81,387.81,1517.0
2025-10-15 08:55:45,387.81,387.81,387.81,387.81,471.0
2025-10-15 08:56:00,387.72,387.72,387.72,387.72,102.0
2025-10-15 08:56:15,387.66,387.66,387.63,387.63,567.0
2025-10-15 08:57:15,387.61,387.61,387.55,387.6,1284.0
2025-10-15 08:58:15,387.56,387.56,387.54,387.54,1140.0
2025-10-15 08:59:30,387.53,387.53,387.53,387.53,100.0
2025-10-15 09:00:00,387.25,387.25,387.25,387.25,962.0
2025-10-15 09:00:15,387.35,387.35,387.34,387.34,600.0
2025-10-15 09:00:45,387.32,387.32,387.32,387.32,208.0
2025-10-15 09:01:00,387.31,387.31,387.31,387.31,100.0
2025-10-15 09:03:30,387.22,387.22,387.22,387.22,109.0
2025-10-15 09:06:00,387.47,387.47,387.47,387.47,165.0
2025-10-15 09:06:45,387.44,387.44,387.44,387.44,160.0
2025-10-15 09:08:00,387.43,387.43,387.39,387.39,253.0
2025-10-15 09:08:30,387.37,387.37,387.37,387.37,132.0
2025-10-15 09:09:45,387.21,387.26,387.21,387.24,1000.0
2025-10-15 09:11:15,387.11,387.11,387.11,387.11,106.0
2025-10-15 09:11:30,387.1,387.1,387.06,387.06,329.0
2025-10-15 09:12:00,387.06,387.06,387.06,387.06,100.0
2025-10-15 09:12:30,387.01,387.01,387.0,387.0,1602.0
2025-10-15 09:13:45,387.0,387.0,387.0,387.0,353.0
2025-10-15 09:15:45,386.6,386.6,386.5,386.5,466.0
2025-10-15 09:16:00,386.3,386.3,386.16,386.16,621.0
2025-10-15 09:16:45,386.48,386.48,386.48,386.48,104.0
2025-10-15 09:17:15,386.5,386.5,386.5,386.5,100.0
2025-10-15 09:17:45,386.33,386.33,386.16,386.19,1773.0
2025-10-15 09:18:00,386.15,386.15,386.15,386.15,104.0
2025-10-15 09:19:30,386.09,386.09,386.0,386.0,785.0
2025-10-15 09:20:00,385.79,385.79,385.79,385.79,181.0
2025-10-15 09:21:00,385.56,385.56,385.34,385.41,2130.0
2025-10-15 09:21:15,385.22,385.22,385.22,385.22,246.0
2025-10-15 09:21:30,385.0,385.0,383.39,383.39,19651.0
2025-10-15 09:21:45,383.88,383.89,383.88,383.89,1126.0
2025-10-15 09:22:00,384.33,384.33,384.33,384.33,100.0
2025-10-15 09:22:30,385.11,385.11,385.11,385.11,100.0
2025-10-15 09:22:45,384.79,384.79,384.77,384.77,402.0
2025-10-15 09:23:00,384.9,384.9,384.9,384.9,242.0
2025-10-15 09:23:15,385.0,385.0,385.0,385.0,107.0
2025-10-15 09:23:30,385.03,385.03,384.91,384.91,1493.0
2025-10-15 09:23:45,384.73,384.73,384.5,384.5,363.0
2025-10-15 09:24:30,384.93,384.95,384.88,384.95,552.0
2025-10-15 09:25:15,385.14,385.14,385.14,385.14,101.0
2025-10-15 09:25:30,385.12,385.12,384.99,384.99,212.0
2025-10-15 09:25:45,384.99,384.99,384.78,384.78,3420.0
2025-10-15 09:26:00,384.75,384.75,384.75,384.75,200.0
2025-10-15 09:27:30,385.0,385.0,385.0,385.0,400.0
2025-10-15 09:28:15,385.5,385.5,385.5,385.5,140.0
2025-10-15 09:29:15,385.56,385.56,385.56,385.56,131.0
2025-10-15 09:29:30,385.65,385.73,385.57,385.73,1227.0
2025-10-15 09:29:45,385.57,385.71,385.55,385.57,968.0
2025-10-15 09:30:00,385.68,385.7,385.68,385.7,250.0
2025-10-15 09:30:45,385.64,385.64,385.64,385.64,220.0
2025-10-15 09:31:30,385.56,385.56,385.55,385.55,200.0
2025-10-15 09:31:45,385.65,385.69,385.65,385.69,543.0
2025-10-15 09:32:00,385.6,385.6,385.6,385.6,100.0
2025-10-15 09:32:45,385.78,385.78,385.68,385.69,531.0
2025-10-15 09:33:00,385.88,385.89,385.88,385.89,1198.0
2025-10-15 09:33:45,385.88,385.88,385.88,385.88,452.0
2025-10-15 09:34:00,385.92,385.92,385.68,385.68,1164.0
2025-10-15 09:35:00,385.66,385.66,385.66,385.66,200.0
2025-10-15 09:35:30,385.84,385.95,385.84,385.95,1730.0
2025-10-15 09:36:15,386.0,386.0,386.0,386.0,200.0
2025-10-15 09:36:30,386.1,386.1,386.1,386.1,400.0
2025-10-15 09:37:15,385.73,385.73,385.71,385.73,302.0
2025-10-15 09:38:15,385.56,385.56,385.51,385.51,721.0
2025-10-15 09:39:15,385.7,385.74,385.7,385.74,405.0
2025-10-15 09:40:15,385.78,385.78,385.64,385.64,220.0
2025-10-15 09:40:30,385.63,385.7,385.63,385.7,254.0
2025-10-15 09:42:00,385.75,385.75,385.75,385.75,100.0
2025-10-15 09:43:15,385.9,385.92,385.9,385.92,375.0
2025-10-15 09:44:15,385.66,385.84,385.66,385.84,322.0
2025-10-15 09:44:30,385.78,385.8,385.7,385.7,480.0
2025-10-15 09:45:00,385.82,385.82,385.82,385.82,607.0
2025-10-15 09:46:45,385.8,385.8,385.8,385.8,108.0
2025-10-15 09:50:30,385.83,385.83,385.83,385.83,100.0
2025-10-15 09:51:30,385.96,385.96,385.96,385.96,100.0
2025-10-15 09:53:15,385.75,385.75,385.71,385.71,500.0
2025-10-15 09:59:45,385.87,385.87,385.87,385.87,952.0
2025-10-15 10:01:00,385.88,385.88,385.88,385.88,952.0
2025-10-15 10:01:30,385.71,385.71,385.71,385.71,462.0
2025-10-15 10:02:00,386.0,386.0,386.0,386.0,198.0
2025-10-15 10:02:30,386.02,386.02,386.02,386.02,191.0
2025-10-15 10:03:00,386.0,386.0,386.0,386.0,100.0
2025-10-15 10:03:30,386.01,386.01,386.01,386.01,103.0
2025-10-15 10:04:00,385.91,385.91,385.91,385.91,900.0
2025-10-15 10:04:45,385.88,385.88,385.88,385.88,100.0
2025-10-15 10:06:00,385.85,386.0,385.85,386.0,609.0
2025-10-15 10:06:30,386.0,386.0,386.0,386.0,184.0
2025-10-15 10:08:45,386.29,386.32,386.29,386.32,317.0
2025-10-15 10:09:45,386.35,386.35,386.35,386.35,150.0
2025-10-15 10:13:45,386.4,386.4,386.4,386.4,271.0
2025-10-15 10:14:15,386.51,386.51,386.51,386.51,111.0
2025-10-15 10:14:45,386.44,386.44,386.44,386.44,180.0
2025-10-15 10:16:45,386.88,387.02,386.88,387.02,852.0
2025-10-15 10:17:00,387.0,387.0,387.0,387.0,100.0
2025-10-15 10:18:45,386.9,386.9,386.9,386.9,152.0
2025-10-15 10:20:00,386.99,386.99,386.99,386.99,150.0
2025-10-15 10:20:45,386.8,386.8,386.8,386.8,100.0
2025-10-15 10:23:15,386.85,386.85,386.85,386.85,160.0
2025-10-15 10:23:30,386.88,386.9,386.74,386.74,1201.0
2025-10-15 10:24:15,386.68,386.68,386.46,386.46,845.0
2025-10-15 10:24:45,386.1,386.17,386.1,386.17,1370.0
2025-10-15 10:25:15,386.25,386.25,386.25,386.25,201.0
2025-10-15 10:25:45,386.36,386.36,386.36,386.36,100.0
2025-10-15 10:26:00,386.47,386.47,386.45,386.45,1002.0
2025-10-15 10:27:15,386.6,386.6,386.6,386.6,101.0
2025-10-15 10:27:30,386.61,386.61,386.61,386.61,1962.0
2025-10-15 10:28:15,386.66,386.66,386.63,386.63,1001.0
2025-10-15 10:29:00,386.56,386.56,386.56,386.56,192.0
2025-10-15 10:32:30,386.54,386.54,386.54,386.54,348.0
2025-10-15 10:35:00,386.55,386.55,386.55,386.55,201.0
2025-10-15 10:36:15,386.37,386.37,386.37,386.37,161.0
2025-10-15 10:40:00,386.31,386.31,386.3,386.3,1722.0
2025-10-15 10:40:45,386.24,386.24,386.24,386.24,107.0
2025-10-15 10:42:30,386.21,386.21,386.12,386.12,310.0
2025-10-15 10:42:45,386.0,386.0,385.9,385.9,1036.0
2025-10-15 10:43:30,385.89,385.89,385.7,385.7,804.0
2025-10-15 10:44:00,385.6,385.6,385.6,385.6,150.0
2025-10-15 10:45:15,385.91,385.91,385.91,385.91,200.0
2025-10-15 10:48:00,385.83,385.83,385.73,385.73,512.0
2025-10-15 10:48:45,385.76,385.76,385.65,385.69,552.0
2025-10-15 10:49:00,386.0,386.08,386.0,386.08,520.0
2025-10-15 10:50:00,386.15,386.15,386.15,386.15,447.0
2025-10-15 10:52:00,386.33,386.33,386.33,386.33,152.0
2025-10-15 10:52:15,386.17,386.17,386.17,386.17,200.0
