datetime,open,high,low,close
2022-04-21 00:00:00,41358.19,41373.04,41320.47,41369.99
2022-04-21 00:02:00,41369.99,41420.0,41366.89,41386.55
2022-04-21 00:04:00,41386.55,41416.06,41355.12,41392.4
2022-04-21 00:06:00,41392.39,41444.2,41392.39,41436.65
2022-04-21 00:08:00,41436.66,41448.59,41410.0,41426.02
2022-04-21 00:10:00,41426.01,41525.42,41421.86,41460.0
2022-04-21 00:12:00,41460.0,41484.15,41460.0,41475.99
2022-04-21 00:14:00,41475.99,41489.99,41458.16,41471.11
2022-04-21 00:16:00,41471.12,41483.51,41463.41,41467.4
2022-04-21 00:18:00,41467.39,41483.5,41423.15,41423.16
2022-04-21 00:20:00,41423.16,41440.0,41405.01,41429.99
2022-04-21 00:22:00,41429.99,41444.62,41405.67,41419.06
2022-04-21 00:24:00,41419.05,41442.25,41419.05,41437.88
2022-04-21 00:26:00,41437.88,41437.89,41410.0,41437.4
2022-04-21 00:28:00,41437.4,41528.43,41437.4,41510.58
2022-04-21 00:30:00,41510.57,41510.58,41483.28,41483.29
2022-04-21 00:32:00,41483.29,41498.72,41475.1,41480.4
2022-04-21 00:34:00,41480.39,41487.66,41470.18,41479.88
2022-04-21 00:36:00,41479.89,41502.16,41471.0,41477.22
2022-04-21 00:38:00,41477.23,41502.16,41474.09,41502.15
2022-04-21 00:40:00,41502.16,41508.38,41488.35,41502.96
2022-04-21 00:42:00,41502.95,41526.29,41502.95,41515.69
2022-04-21 00:44:00,41515.68,41545.75,41515.68,41540.87
2022-04-21 00:46:00,41540.88,41560.0,41536.72,41544.76
2022-04-21 00:48:00,41544.77,41569.04,41523.06,41526.03
2022-04-21 00:50:00,41526.02,41535.8,41505.84,41505.84
2022-04-21 00:52:00,41505.85,41510.0,41484.69,41506.73
2022-04-21 00:54:00,41506.74,41534.07,41500.51,41529.29
2022-04-21 00:56:00,41529.3,41547.35,41511.6,41547.34
2022-04-21 00:58:00,41547.35,41565.99,41521.88,41528.1
2022-04-21 01:00:00,41528.1,41551.15,41528.09,41548.77
2022-04-21 01:02:00,41548.77,41565.97,41548.76,41553.77
2022-04-21 01:04:00,41553.76,41553.77,41514.7,41523.16
2022-04-21 01:06:00,41523.16,41530.0,41512.46,41525.46
2022-04-21 01:08:00,41525.47,41560.0,41525.46,41560.0
2022-04-21 01:10:00,41560.0,41563.93,41504.31,41504.31
2022-04-21 01:12:00,41504.32,41523.32,41488.72,41494.5
2022-04-21 01:14:00,41494.5,41494.5,41468.61,41468.83
2022-04-21 01:16:00,41468.83,41481.07,41468.82,41473.9
2022-04-21 01:18:00,41473.9,41492.06,41473.9,41492.06
2022-04-21 01:20:00,41492.05,41513.88,41489.14,41511.77
2022-04-21 01:22:00,41511.76,41549.48,41511.76,41541.67
2022-04-21 01:24:00,41541.68,41645.09,41541.67,41614.91
2022-04-21 01:26:00,41614.9,41641.63,41599.99,41624.55
2022-04-21 01:28:00,41624.56,41675.02,41607.87,41638.49
2022-04-21 01:30:00,41638.49,41638.5,41612.37,41614.54
2022-04-21 01:32:00,41614.54,41639.24,41614.54,41627.46
2022-04-21 01:34:00,41627.46,41717.0,41627.45,41712.71
2022-04-21 01:36:00,41712.71,41785.48,41701.95,41729.44
2022-04-21 01:38:00,41729.43,41736.45,41700.01,41708.82
2022-04-21 01:40:00,41708.83,41713.35,41700.01,41708.15
2022-04-21 01:42:00,41708.15,41736.44,41708.15,41716.87
2022-04-21 01:44:00,41716.88,41744.52,41716.87,41735.6
2022-04-21 01:46:00,41735.6,41735.6,41691.9,41712.99
2022-04-21 01:48:00,41713.0,41713.0,41698.07,41705.88
2022-04-21 01:50:00,41705.88,41705.88,41672.59,41678.27
2022-04-21 01:52:00,41678.28,41678.28,41621.67,41674.5
2022-04-21 01:54:00,41674.5,41691.15,41673.15,41686.56
2022-04-21 01:56:00,41686.56,41686.57,41633.75,41654.58
2022-04-21 01:58:00,41654.57,41674.49,41654.57,41674.49
