datetime,open,high,low,close
2025-04-02 12:00:00,562.31,562.375,562.225,562.33
2025-04-02 12:00:02,562.1967,562.4387,562.1967,562.215
2025-04-02 12:00:04,562.23,562.23,562.18,562.21
2025-04-02 12:00:06,562.2315,562.2315,562.0801,562.0801
2025-04-02 12:00:08,562.08,562.2114,562.08,562.14
2025-04-02 12:00:10,562.115,562.14,562.1,562.1
2025-04-02 12:00:12,562.095,562.2114,562.0803,562.15
2025-04-02 12:00:14,562.1701,562.1897,562.11,562.12
2025-04-02 12:00:16,562.11,562.2,562.11,562.16
2025-04-02 12:00:18,562.15,562.2,562.15,562.1639
2025-04-02 12:00:20,562.1548,562.2298,562.1548,562.17
2025-04-02 12:00:22,562.17,562.1925,562.13,562.1925
2025-04-02 12:00:24,562.17,562.2247,562.16,562.185
2025-04-02 12:00:26,562.17,562.195,562.16,562.195
2025-04-02 12:00:28,562.2099,562.2188,562.165,562.165
2025-04-02 12:00:30,562.18,562.32,562.18,562.32
2025-04-02 12:00:32,562.31,562.3289,562.28,562.32
2025-04-02 12:00:34,562.32,562.32,562.266,562.2896
2025-04-02 12:00:36,562.31,562.38,562.31,562.36
2025-04-02 12:00:38,562.3301,562.34,562.33,562.3388
2025-04-02 12:00:40,562.335,562.36,562.2474,562.34
2025-04-02 12:00:42,562.355,562.36,562.26,562.31
2025-04-02 12:00:44,561.9183,562.3297,561.9183,562.295
2025-04-02 12:00:46,562.2923,562.39,562.2,562.38
2025-04-02 12:00:48,562.375,562.375,562.35,562.36
2025-04-02 12:00:50,562.3693,562.38,562.2328,562.38
2025-04-02 12:00:52,562.3662,562.38,562.2482,562.35
2025-04-02 12:00:54,562.35,562.35,562.33,562.34
2025-04-02 12:00:56,562.325,562.325,562.28,562.29
2025-04-02 12:00:58,562.32,562.3488,562.315,562.315
2025-04-02 12:01:00,562.32,562.35,562.2537,562.31
2025-04-02 12:01:02,562.32,562.3288,562.2659,562.29
2025-04-02 12:01:04,562.2989,562.2989,562.24,562.24
2025-04-02 12:01:06,562.24,562.35,562.24,562.34
2025-04-02 12:01:08,562.269,562.33,562.269,562.28
2025-04-02 12:01:10,562.299,562.3099,562.2801,562.3099
2025-04-02 12:01:12,562.31,562.31,562.26,562.26
2025-04-02 12:01:14,562.27,562.27,562.2301,562.25
2025-04-02 12:01:16,562.25,562.26,562.195,562.195
2025-04-02 12:01:18,562.21,562.21,562.17,562.205
2025-04-02 12:01:20,562.22,562.28,562.186126,562.26
2025-04-02 12:01:22,562.25,562.26,562.21,562.23
2025-04-02 12:01:24,562.3029,562.3499,562.21,562.3499
2025-04-02 12:01:26,562.33,562.36,562.31,562.32
2025-04-02 12:01:28,562.3489,562.45,562.3489,562.42
2025-04-02 12:01:30,562.435,562.46,562.39,562.39
2025-04-02 12:01:32,562.3887,562.395,562.36,562.365
2025-04-02 12:01:34,562.365,562.3881,562.3603,562.385
2025-04-02 12:01:36,562.3939,562.4,562.3801,562.4
2025-04-02 12:01:38,562.395,562.42,562.3801,562.3999
2025-04-02 12:01:40,562.39,562.39,562.33,562.345
2025-04-02 12:01:42,562.35,562.35,561.9935,561.9935
2025-04-02 12:01:44,562.364,562.39,562.355,562.39
2025-04-02 12:01:46,562.405,562.4691,562.4001,562.4691
2025-04-02 12:01:48,562.455,562.47,562.44,562.44
2025-04-02 12:01:50,562.444,562.444,562.38,562.3997
2025-04-02 12:01:52,562.38,562.42,562.3687,562.42
2025-04-02 12:01:54,562.38,562.4388,562.38,562.43
2025-04-02 12:01:56,562.4382,562.45,562.4247,562.45
2025-04-02 12:01:58,562.455,562.455,562.42,562.44
2025-04-02 12:02:00,562.284,562.48,562.284,562.48
2025-04-02 12:02:02,562.5,562.51,562.45,562.45
2025-04-02 12:02:04,562.3444,562.512,562.3444,562.4588
2025-04-02 12:02:06,562.435,562.455,562.39,562.42
2025-04-02 12:02:08,562.3522,562.44,562.3522,562.38
2025-04-02 12:02:10,562.4103,562.4286,562.4,562.42
2025-04-02 12:02:12,562.41,562.41,562.38,562.3992
2025-04-02 12:02:14,562.362,562.4199,562.362,562.4199
2025-04-02 12:02:16,562.4199,562.44,562.4199,562.44
2025-04-02 12:02:18,562.44,562.54,562.44,562.5
2025-04-02 12:02:20,562.4747,562.5,562.376,562.5
2025-04-02 12:02:22,562.495,562.55,562.495,562.55
2025-04-02 12:02:24,562.55,562.55,562.48,562.51
2025-04-02 12:02:26,562.549,562.56,562.53,562.545
2025-04-02 12:02:28,562.545,562.545,562.52,562.5399
2025-04-02 12:02:30,562.53,562.58,562.3776,562.58
2025-04-02 12:02:32,562.6,562.6096,562.56,562.5968
2025-04-02 12:02:34,562.56,562.565,562.56,562.565
2025-04-02 12:02:36,562.5547,562.56,562.3844,562.5101
2025-04-02 12:02:38,562.52,562.5288,562.5,562.52
2025-04-02 12:02:40,562.55,562.6,562.54,562.6
2025-04-02 12:02:42,562.59,562.649,562.58,562.639
2025-04-02 12:02:44,562.63,562.66,562.6047,562.66
2025-04-02 12:02:46,562.6797,562.6899,562.6312,562.68
2025-04-02 12:02:48,562.68,562.705,562.67,562.6999
2025-04-02 12:02:50,562.6987,562.7063,562.68,562.7063
2025-04-02 12:02:52,562.1298,562.76,562.1298,562.7288
2025-04-02 12:02:54,562.7101,562.7299,562.443,562.66
2025-04-02 12:02:56,562.65,562.66,562.4531,562.4531
2025-04-02 12:02:58,562.6375,562.64,562.61,562.6286
2025-04-02 12:03:00,562.64,562.71,562.4021,562.71
2025-04-02 12:03:02,562.7,562.7,562.66,562.66
2025-04-02 12:03:04,562.675,562.68,562.4043,562.525
2025-04-02 12:03:06,562.52,562.52,562.39,562.41
2025-04-02 12:03:08,562.38,562.4069,562.34,562.34
2025-04-02 12:03:10,562.34,562.563,562.31,562.33
2025-04-02 12:03:12,562.31,562.4745,562.2712,562.275
2025-04-02 12:03:14,562.27,562.4028,562.27,562.3
2025-04-02 12:03:16,562.29,562.2998,562.2845,562.29
2025-04-02 12:03:18,562.3,562.33,562.2801,562.33
2025-04-02 12:03:20,562.36,562.4,562.36,562.39
2025-04-02 12:03:22,562.3769,562.4,562.345,562.345
2025-04-02 12:03:24,562.3312,562.3964,562.3214,562.33
2025-04-02 12:03:26,562.33,562.34,562.3,562.3
2025-04-02 12:03:28,562.3,562.3,562.22,562.235
2025-04-02 12:03:30,562.24,562.29,562.24,562.27
2025-04-02 12:03:32,562.26,562.27,562.24,562.24
2025-04-02 12:03:34,562.25,562.27,562.24,562.265
2025-04-02 12:03:36,562.26,562.27,562.2412,562.2412
2025-04-02 12:03:38,562.26,562.28,562.259,562.259
2025-04-02 12:03:40,562.26,562.3,562.26,562.285
2025-04-02 12:03:42,562.272,562.2851,562.25,562.25
2025-04-02 12:03:44,562.27,562.29,562.16,562.17
2025-04-02 12:03:46,562.21,562.4114,562.21,562.305
2025-04-02 12:03:48,562.33,562.34,562.3001,562.3399
2025-04-02 12:03:50,562.33,562.34,562.3001,562.34
2025-04-02 12:03:52,562.32,562.3405,562.32,562.3405
2025-04-02 12:03:54,562.3344,562.3344,562.3,562.31
2025-04-02 12:03:56,562.34,562.4412,562.34,562.355
2025-04-02 12:03:58,562.34,562.35,562.34,562.345
2025-04-02 12:04:00,562.35,562.445,562.2087,562.44
2025-04-02 12:04:02,562.4399,562.45,562.42,562.45
2025-04-02 12:04:04,562.45,562.4579,562.3405,562.44
2025-04-02 12:04:06,562.42,562.42,562.3804,562.42
2025-04-02 12:04:08,562.415,562.445,562.2114,562.43
2025-04-02 12:04:10,562.45,562.51,562.2932,562.51
2025-04-02 12:04:12,562.53,562.58,562.53,562.5691
2025-04-02 12:04:14,562.56,562.65,562.3343,562.63
2025-04-02 12:04:16,562.62,562.62,562.62,562.62
2025-04-02 12:04:18,562.62,562.6888,562.62,562.66
2025-04-02 12:04:20,562.66,562.66,562.59,562.6002
2025-04-02 12:04:22,562.6,562.6,562.52,562.52
2025-04-02 12:04:24,562.53,562.57,562.525,562.54
2025-04-02 12:04:26,562.545,562.5605,562.54,562.54
2025-04-02 12:04:28,562.55,562.55,562.3681,562.54
2025-04-02 12:04:30,562.53,562.54,561.165,562.5399
2025-04-02 12:04:32,562.52,562.52,562.48,562.48
2025-04-02 12:04:34,562.48,562.48,562.46,562.47
